iter	Passed	Remaining
400	11151	2753
401	11176	2724
402	11201	2696
403	11226	2667
404	11251	2639
405	11276	2610
406	11302	2582
407	11327	2554
408	11351	2525
409	11377	2497
410	11403	2469
411	11428	2440
412	11454	2412
413	11479	2384
414	11506	2356
415	11533	2328
416	11559	2300
417	11584	2272
418	11610	2244
419	11635	2216
420	11660	2188
421	11686	2160
422	11710	2131
423	11735	2103
424	11760	2075
425	11786	2047
426	11813	2019
427	11840	1991
428	11866	1963
429	11893	1936
430	11919	1908
431	11945	1880
432	11971	1852
433	11997	1824
434	12022	1796
435	12048	1768
436	12074	1740
437	12099	1712
438	12124	1684
439	12149	1656
440	12174	1628
441	12201	1601
442	12227	1573
443	12253	1545
444	12278	1517
445	12305	1489
446	12332	1462
447	12357	1434
448	12383	1406
449	12409	1378
450	12434	1351
451	12460	1323
452	12487	1295
453	12512	1267
454	12539	1240
455	12565	1212
456	12591	1184
457	12617	1157
458	12643	1129
459	12669	1101
460	12704	1074
461	12731	1047
462	12758	1019
463	12788	992
464	12818	964
465	12845	937
466	12871	909
467	12897	881
468	12923	854
469	12951	826
470	12978	799
471	13005	771
472	13031	743
473	13058	716
474	13083	688
475	13108	660
476	13134	633
477	13159	605
478	13184	578
479	13208	550
480	13233	522
481	13259	495
482	13285	467
483	13311	440
484	13335	412
485	13360	384
486	13384	357
487	13409	329
488	13434	302
489	13459	274
490	13485	247
491	13511	219
492	13538	192
493	13564	164
494	13590	137
495	13614	109
496	13639	82
497	13664	54
498	13691	27
499	13718	0
